idx,clip_dir,sentence,blip_frame,grid_path
0,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_16/01,"As the vehicle progresses, it passes by a variety of vehicles, including a silver sedan in the adjacent lane, a yellow van, and a motorcycle on the left side.",0,<SCRATCHPAD>/temporal_grids/grid_00.jpg
1,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,The ego-vehicle maintains a steady speed as it approaches and crosses the intersection.,8,<SCRATCHPAD>/temporal_grids/grid_01.jpg
2,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/02,"The vehicle is approaching an intersection where a few cars are waiting to turn, and the road ahead is clear with no visible obstacles.",3,<SCRATCHPAD>/temporal_grids/grid_02.jpg
3,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03,"On the left side of the road, there is a bus and a few other vehicles, while the right side has a white car and a black car approaching from the opposite direction.",4,<SCRATCHPAD>/temporal_grids/grid_03.jpg
4,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_32/01,"The traffic flow is moderate, with several other vehicles visible in the distance, including a white sedan and a black van that pass through the intersection.",6,<SCRATCHPAD>/temporal_grids/grid_04.jpg
5,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/02,"The vehicle is moving forward, passing a large black truck on the left side of the road and a covered truck on the right.",8,<SCRATCHPAD>/temporal_grids/grid_05.jpg
6,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,"On the left side, there is a construction zone with a white barrier and a black SUV passing by.",5,<SCRATCHPAD>/temporal_grids/grid_06.jpg
7,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_24/02,"The vehicle approaches an intersection where a police car is visible, and the traffic light is green, allowing the vehicle to proceed.",9,<SCRATCHPAD>/temporal_grids/grid_07.jpg
8,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_1/01,"As the vehicle progresses, it approaches a crosswalk marked with white stripes and a pedestrian crossing symbol, with a traffic light visible ahead.",5,<SCRATCHPAD>/temporal_grids/grid_08.jpg
9,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,"As the vehicle approaches a tunnel entrance, the road becomes darker, and the tunnel entrance is visible with a concrete arch structure.",5,<SCRATCHPAD>/temporal_grids/grid_09.jpg
10,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/02,"The ego-vehicle is initially stopped at a crosswalk, with a white car on the right side of the road and a large, modern building with arched windows on the left.",2,<SCRATCHPAD>/temporal_grids/grid_10.jpg
11,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,"As the vehicle proceeds, it approaches an intersection with traffic signals and signs, including a '50' speed limit sign and a 'no left turn' sign.",7,<SCRATCHPAD>/temporal_grids/grid_11.jpg
12,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,"The road is surrounded by trees and concrete walls, and the road signs indicate a speed limit of 50 km/h and a right turn sign.",5,<SCRATCHPAD>/temporal_grids/grid_12.jpg
