id,group,구분,문장점수,문장판정,최종판정,의심 구성요소,결과
cat_string_toy,기존8,정답,0.9999,PASS,PASS,"object:orange(SUSPECT, 0.042); object:cat(BORDERLINE, 0.104); object:string(SUSPECT, 0.036); object:toy(SUSPECT, 0.049); action:playing(BORDERLINE, 0.131); action:hanging(BORDERLINE, 0.097)",O
cat_string_toy,기존8,오답(재활용),0.0,FAIL,FAIL,"object:group(SUSPECT, 0.010); object:horses(SUSPECT, 0.000); object:pasture(SUSPECT, 0.000); action:running(SUSPECT, 0.038)",O
cat_string_toy,기존8,오답(행동),0.9996,PASS,PASS,"object:orange(SUSPECT, 0.042); object:cat(BORDERLINE, 0.104); object:string(SUSPECT, 0.036); object:toy(SUSPECT, 0.049); action:sleeping(BORDERLINE, 0.120); action:hanging(BORDERLINE, 0.097)",X
cat_string_toy,기존8,오답(속성),0.0147,FAIL,FAIL,"object:dog(SUSPECT, 0.020); object:string(SUSPECT, 0.036); object:toy(SUSPECT, 0.049); action:playing(BORDERLINE, 0.131); action:hanging(BORDERLINE, 0.097)",O
cooking_thermometer,기존8,정답,0.9999,PASS,PASS,"object:burger(BORDERLINE, 0.053)",O
cooking_thermometer,기존8,오답(재활용),0.0,FAIL,FAIL,"object:guitar(SUSPECT, 0.001); object:audience(SUSPECT, 0.019)",O
cooking_thermometer,기존8,오답(행동),0.0282,FAIL,FAIL,"object:wash(BORDERLINE, 0.117); object:sink(SUSPECT, 0.006)",O
cooking_thermometer,기존8,오답(속성),0.9997,PASS,REVIEW,"object:chicken(SUSPECT, 0.008)",O
van_driving,기존8,정답,0.9973,PASS,REVIEW,"object:street(SUSPECT, 0.027); object:brick(SUSPECT, 0.026); object:building(SUSPECT, 0.011); action:being(BORDERLINE, 0.059)",X
van_driving,기존8,오답(재활용),0.0001,FAIL,FAIL,"object:group(SUSPECT, 0.017); object:people(SUSPECT, 0.011); object:clothing(SUSPECT, 0.021); object:outdoors(BORDERLINE, 0.111); action:singing(SUSPECT, 0.019)",O
van_driving,기존8,오답(행동),0.9771,PASS,REVIEW,"object:street(SUSPECT, 0.027); object:brick(SUSPECT, 0.026); object:building(SUSPECT, 0.011)",O
van_driving,기존8,오답(속성),0.0005,FAIL,FAIL,"object:sports(SUSPECT, 0.002); object:street(SUSPECT, 0.027); object:brick(SUSPECT, 0.026); object:building(SUSPECT, 0.011); action:being(BORDERLINE, 0.059)",O
dog_park,기존8,정답,0.9997,PASS,PASS,-,O
