caption_order,sentence,best_frame_idx,best_timestamp_pct,best_score,is_event,clip_dir,is_event_v3
3,"As the vehicle progresses, it passes by a variety of vehicles, including a silver sedan in the adjacent lane, a yellow van, and a motorcycle on the left side.",0,10.0,0.1874,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_16/01,True
7,The ego-vehicle maintains a steady speed as it approaches and crosses the intersection.,8,81.1,0.2335,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,True
4,"The vehicle is approaching an intersection where a few cars are waiting to turn, and the road ahead is clear with no visible obstacles.",3,36.7,0.9318,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/02,True
3,"On the left side of the road, there is a bus and a few other vehicles, while the right side has a white car and a black car approaching from the opposite direction.",4,45.6,0.2407,True,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03,True
3,"The traffic flow is moderate, with several other vehicles visible in the distance, including a white sedan and a black van that pass through the intersection.",6,63.3,0.3037,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_32/01,True
2,"The vehicle is moving forward, passing a large black truck on the left side of the road and a covered truck on the right.",8,81.1,0.9922,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/02,True
2,"On the left side, there is a construction zone with a white barrier and a black SUV passing by.",5,54.4,0.2798,True,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,True
5,"The vehicle approaches an intersection where a police car is visible, and the traffic light is green, allowing the vehicle to proceed.",9,90.0,0.0256,True,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_24/02,True
2,"As the vehicle progresses, it approaches a crosswalk marked with white stripes and a pedestrian crossing symbol, with a traffic light visible ahead.",5,54.4,0.9119,True,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_1/01,True
3,"As the vehicle approaches a tunnel entrance, the road becomes darker, and the tunnel entrance is visible with a concrete arch structure.",5,54.4,0.9953,True,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,True
1,"The ego-vehicle is initially stopped at a crosswalk, with a white car on the right side of the road and a large, modern building with arched windows on the left.",2,27.8,0.9526,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/02,True
3,"As the vehicle proceeds, it approaches an intersection with traffic signals and signs, including a '50' speed limit sign and a 'no left turn' sign.",7,72.2,0.0191,True,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,True
2,"The road is surrounded by trees and concrete walls, and the road signs indicate a speed limit of 50 km/h and a right turn sign.",5,54.4,0.929,True,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,True
5,"A white delivery truck with ""Dongwoong"" and ""LOEX"" logos is seen on the right side of the road, and a silver sedan passes by on the left.",5,54.4,0.2268,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_10/01,True
2,"In front of the vehicle, a blue bus labeled ""1002"" is seen driving in the opposite direction, while a red and white bus passes by on the left side of the road.",2,27.8,0.9904,True,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01,True
4,"Various vehicles, including sedans, SUVs, and a large white truck, are present in the adjacent lanes, with some vehicles changing lanes or stopping.",6,63.3,0.1842,True,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_3/04,True
2,"In front of the ego-vehicle, there is a dense traffic flow, with numerous cars and buses traveling in the same direction, their brake lights glowing red.",0,10.0,0.5316,True,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,True
5,"As the vehicle progresses, it approaches an intersection where a white sedan is waiting at the crosswalk.",9,90.0,0.9412,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/03,True
6,"The vehicle continues to move forward, passing under the tunnel and emerging into bright daylight.",9,90.0,0.9938,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/03,True
3,"A blue bus is seen approaching from the opposite direction at an intersection, while a white van and a gray SUV are also present in the same direction.",8,81.1,0.8977,True,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_9/02,True
2,"The road surface is reflective, showing the headlights and taillights of passing vehicles.",1,18.9,0.2669,True,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_24/02,True
3,"As the video progresses, the ego-vehicle begins to move forward, passing a black car and a gray SUV that are stopped at the intersection.",8,81.1,0.951,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/02,True
6,"The traffic flow is moderate, with vehicles maintaining a steady pace as they approach and cross the intersection.",4,45.6,0.3669,True,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/02,True
2,"As the vehicle approaches the intersection, it passes a white car on the left and a white truck on the right, both of which are moving in the opposite direction.",8,81.1,0.8463,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_1/04,True
2,"A white car is seen in the foreground, approaching the intersection, and it is positioned in the left lane.",7,72.2,0.9433,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_32/01,True
2,"The vehicle is moving forward in the rightmost lane, maintaining a steady pace as it approaches an intersection.",8,81.1,0.8975,True,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_21/03,True
2,"A black car is seen approaching the intersection ahead, while a motorcycle passes by on the opposite side.",6,63.3,0.9139,True,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/04,True
3,"As the vehicle progresses, it approaches an intersection where traffic signals are visible.",6,63.3,0.5068,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_8/02,True
2,"The ego-vehicle is following a white Kia SUV, which is in the adjacent lane and has its brake lights illuminated.",3,36.7,0.8906,True,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/03,True
7,"The vehicle is maintaining a steady pace, passing through the intersection without stopping.",0,10.0,0.3833,True,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_6/04,True
4,"The underpass entrance is visible, and the vehicle enters a dark tunnel, where the light gradually increases as it exits.",3,36.7,0.9904,True,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_3/03,True
3,"The traffic is dense, with numerous cars in the adjacent lanes, their brake lights and headlights creating a dynamic display of light patterns.",5,54.4,0.7222,True,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,True
1,"The road is lined with trees and buildings, and the traffic is moderate with several cars passing by.",6,63.3,0.9755,True,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_6/02,True
0,"The video captures a front-view ego-vehicle stopped at an intersection on a wet, two-lane road during the daytime.",2,27.8,0.9661,True,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_9/03,True
6,"The ego-vehicle maintains a steady pace, following the flow of traffic and passing through the intersection.",8,81.1,0.0715,True,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_10/04,True
