id,frac,true_verb,true_score,false_verb,false_score,frame_winner
cat_string_toy,10,lying,0.2013,ignoring,0.276,FALSE
cat_string_toy,30,lying,0.2391,sleeping,0.113,TRUE
cat_string_toy,50,lying,0.2934,sleeping,0.1155,TRUE
cat_string_toy,70,lying,0.2484,sleeping,0.1197,TRUE
cat_string_toy,90,lying,0.0679,ignoring,0.0921,FALSE
dog_park,10,playing,0.01,sleeping,0.0026,TRUE
dog_park,30,playing,0.047,sleeping,0.0073,TRUE
dog_park,50,playing,0.0074,sleeping,0.0065,TRUE
dog_park,70,playing,0.2845,sleeping,0.0023,TRUE
dog_park,90,playing,0.081,sleeping,0.0086,TRUE
horse_herd,10,running,0.3573,grazing,0.1534,TRUE
horse_herd,30,running,0.2403,grazing,0.1881,TRUE
horse_herd,50,running,0.0184,grazing,0.2118,FALSE
horse_herd,70,running,0.5825,grazing,0.0681,TRUE
horse_herd,90,running,0.2534,grazing,0.1851,TRUE
guitar_play,10,playing,0.1465,singing,0.1915,FALSE
guitar_play,30,playing,0.1608,singing,0.2049,FALSE
guitar_play,50,playing,0.1797,singing,0.2685,FALSE
guitar_play,70,playing,0.1264,singing,0.2125,FALSE
guitar_play,90,playing,0.1327,singing,0.3213,FALSE
people_dancing,10,singing,0.6067,speaking,0.1443,TRUE
people_dancing,30,singing,0.3839,speaking,0.0222,TRUE
people_dancing,50,singing,0.5213,speaking,0.0277,TRUE
people_dancing,70,singing,0.6692,speaking,0.2175,TRUE
people_dancing,90,singing,0.0539,speaking,0.0701,FALSE
bicycle_ride,10,riding,0.0318,standing,0.0229,TRUE
bicycle_ride,30,riding,0.0281,standing,0.0203,TRUE
bicycle_ride,50,riding,0.1825,standing,0.0472,TRUE
bicycle_ride,70,riding,0.0499,standing,0.0242,TRUE
bicycle_ride,90,riding,0.0339,standing,0.023,TRUE
