caption_order,sentence,best_frame_idx,best_timestamp_pct,best_score,is_event,clip_dir
0,"The ego-vehicle is moving straight along a multi-lane city street, which is visibly wet from recent rain, as evidenced by the water droplets on the windshield.",9,90.0,0.8457,False,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
1,"The road is a wide urban thoroughfare with several lanes, and the vehicle is traveling in the middle lane.",0,10.0,0.8065,False,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
2,"On the left side, there is a construction zone with a white barrier and a black SUV passing by.",5,54.4,0.2798,True,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
3,"The right side features a mix of modern high-rise buildings and green buses, including a green bus with the word ""BUMMAN"" on its side.",1,18.9,0.9624,False,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
4,"A white sedan is ahead in the same direction, while a blue Hyundai truck passes on the right.",9,90.0,0.9037,True,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
5,"The road is lined with trees and various signs, including a blue sign with arrows indicating traffic flow.",8,81.1,0.3659,False,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
6,"The sky is overcast, and the overall lighting suggests it is daytime.",0,10.0,0.2192,False,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
7,"The vehicle maintains a steady pace, and the traffic flow appears to be moderate, with no significant congestion.",4,45.6,0.5457,False,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03
0,"The ego-vehicle is moving straight on a three-lane city street, with the road clearly marked by white lane dividers and directional arrows.",4,45.6,0.9649,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03
1,"The road is lined with modern buildings, including high-rise structures and commercial establishments, with a mix of leafless trees indicating a winter or early spring season.",3,36.7,0.9913,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03
2,"The sky is overcast, contributing to the cloudy weather conditions.",2,27.8,0.1349,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03
3,"The road is relatively clear of congestion, with a few other vehicles visible, including a white SUV in the adjacent lane and a silver sedan ahead.",0,10.0,0.9609,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03
4,"A blue directional sign indicating ""Dongjak"" and ""Dongjeon"" is visible ahead, suggesting the direction of travel.",7,72.2,0.5835,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03
5,"The ego-vehicle maintains a steady pace, and the surrounding traffic flows smoothly, with no visible intersections or abrupt changes in direction.",9,90.0,0.3076,False,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03
0,"The ego-vehicle is driving straight on a multi-lane city street during the daytime, with the road surface appearing wet from recent rain.",1,18.9,0.2863,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02
1,"The road is lined with tall buildings and trees, and the surrounding traffic includes a variety of vehicles such as sedans, SUVs, and a blue bus marked with the number 360.",7,72.2,0.9756,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02
2,"The vehicle is moving forward through the traffic, with other cars and vehicles occupying the adjacent lanes.",7,72.2,0.5889,False,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02
