id,video_path,caption,sentence_score,sentence_verdict,final_verdict,style,suspect_components,error
example_01,./data/pilot_videos/1.mp4,"The ego-vehicle is turning right along a three-lane road, its motion guided by the wet asphalt reflecting the overcast daylight. The road, which appears to be a bridge, is lined with trees shedding autumn leaves, and overhead signs indicate directions to “Eonju-ro” and “대치역,” while a blue directional sign also points toward “언주로.” Ahead, multiple vehicles including cars and buses are visible, with a few pedestrians crossing the street near a traffic light. To the right, a yellow van is parked near the curb, and further down, a white SUV is seen ahead. The surrounding environment features tall modern buildings flanking the roadway, and the sun’s glare creates lens flares as it breaks through the clouds, illuminating the scene. No sudden or hazardous events are observed during the clip.",0.9834,PASS,REVIEW,photo,"object:ego-vehicle(SUSPECT, 0.007); object:asphalt(BORDERLINE, 0.089); object:bridge(SUSPECT, 0.002); object:trees(BORDERLINE, 0.089); object:leaves(SUSPECT, 0.039); object:signs(SUSPECT, 0.004); object:directions(SUSPECT, 0.023); object:eonju-ro(SUSPECT, 0.035); object:”(BORDERLINE, 0.107); object:”(BORDERLINE, 0.107); object:sign(SUSPECT, 0.015); object:”(BORDERLINE, 0.107); object:ahead(BORDERLINE, 0.067); object:buses(SUSPECT, 0.005); object:pedestrians(SUSPECT, 0.012); object:light(SUSPECT, 0.030); object:right(BORDERLINE, 0.138); object:van(SUSPECT, 0.022); object:curb(BORDERLINE, 0.117); object:suv(SUSPECT, 0.009); object:environment(BORDERLINE, 0.143); object:features(BORDERLINE, 0.090); object:sun(BORDERLINE, 0.108); object:’(BORDERLINE, 0.124); object:s(BORDERLINE, 0.057); object:flares(SUSPECT, 0.020); object:clouds(SUSPECT, 0.002); object:events(SUSPECT, 0.014); action:reflecting(SUSPECT, 0.047); action:shedding(BORDERLINE, 0.114); action:including(BORDERLINE, 0.124); action:flanking(BORDERLINE, 0.087); action:illuminating(BORDERLINE, 0.136)",
example_02,./data/pilot_videos/2.mp4,"The ego-vehicle proceeds straight along a multi-lane city street, its motion steady as it navigates the wet asphalt under a gray, rainy sky, with raindrops blurring the view through the windshield. The road is flanked by modern buildings and trees, some bare, while overhead and roadside signs in the standard Korean traffic-sign format indicate directions and route names. Several vehicles are visible ahead, including a white van and a silver sedan with yellow stripes, while multiple cars and trucks occupy the adjacent lanes on both sides. A few vehicles, particularly on the right, appear to be growing noticeably closer, suggesting potential lateral movement toward the ego-vehicle’s path. No sudden hazards or abrupt maneuvers are evident in the frames.",0.9796,PASS,REVIEW,photo,"object:proceeds(SUSPECT, 0.011); object:asphalt(SUSPECT, 0.032); object:sky(BORDERLINE, 0.103); object:raindrops(SUSPECT, 0.005); object:view(SUSPECT, 0.036); object:buildings(BORDERLINE, 0.060); object:trees(SUSPECT, 0.019); object:bare(BORDERLINE, 0.084); object:signs(SUSPECT, 0.003); object:directions(SUSPECT, 0.019); object:names(SUSPECT, 0.007); object:van(SUSPECT, 0.016); object:sedan(SUSPECT, 0.010); object:stripes(SUSPECT, 0.011); object:trucks(SUSPECT, 0.007); object:sides(SUSPECT, 0.043); object:right(BORDERLINE, 0.109); object:ego-vehicle(SUSPECT, 0.009); object:’(BORDERLINE, 0.140); object:path(SUSPECT, 0.043); object:hazards(SUSPECT, 0.017); object:maneuvers(BORDERLINE, 0.051); object:frames(SUSPECT, 0.016); action:including(BORDERLINE, 0.104); action:growing(SUSPECT, 0.012); action:suggesting(BORDERLINE, 0.091)",
example_03,./data/pilot_videos/3.mp4,"The ego-vehicle proceeds straight along a three-lane city street, its motion steady as it navigates the wet road surface slick with rain, which blurs the view through the windshield and reflects the overcast daylight. The urban environment is lined with tall buildings and commercial storefronts, with pedestrians visible on the sidewalks holding umbrellas against the downpour. Traffic flows steadily ahead, including a silver SUV directly in front, a bright orange taxi to the right, and various other sedans and vans in adjacent lanes, all moving in the same direction. Road markings such as white lane dividers and pedestrian crosswalks are visible, and overhead traffic signs indicate a U-turn ahead. No sudden maneuvers or hazards are evident in the frames, and the scene remains consistent with typical city traffic under rainy conditions.",0.9515,REVIEW,REVIEW,photo,"object:proceeds(SUSPECT, 0.013); object:surface(BORDERLINE, 0.110); object:view(SUSPECT, 0.036); object:windshield(BORDERLINE, 0.082); object:environment(BORDERLINE, 0.137); object:buildings(BORDERLINE, 0.097); object:storefronts(SUSPECT, 0.009); object:pedestrians(BORDERLINE, 0.063); object:sidewalks(BORDERLINE, 0.085); object:umbrellas(SUSPECT, 0.000); object:downpour(BORDERLINE, 0.074); object:silver(BORDERLINE, 0.068); object:suv(BORDERLINE, 0.061); object:front(BORDERLINE, 0.091); object:orange(SUSPECT, 0.008); object:taxi(BORDERLINE, 0.058); object:right(BORDERLINE, 0.105); object:sedans(BORDERLINE, 0.112); object:vans(SUSPECT, 0.012); object:direction(BORDERLINE, 0.107); object:dividers(SUSPECT, 0.021); object:signs(SUSPECT, 0.001); object:maneuvers(BORDERLINE, 0.064); object:hazards(SUSPECT, 0.011); object:frames(SUSPECT, 0.014); object:conditions(BORDERLINE, 0.135); action:holding(BORDERLINE, 0.075); action:including(BORDERLINE, 0.094)",
example_04,./data/pilot_videos/4.mp4,"The ego-vehicle proceeds straight along a multi-lane city street, maintaining a steady course on a clear asphalt surface under overcast, rainy conditions. The road is flanked by tall modern buildings on the right and a mix of mid-rise structures on the left, with bare trees lining the sidewalks. Pedestrians with umbrellas are visible on the right sidewalk, and a green bus travels ahead in the same direction. Several other vehicles, including sedans and an SUV, are present in adjacent lanes, moving in the same direction. Overhead, a blue road sign with white directional arrows and Korean text indicates a bus route, while a digital traffic sign ahead displays route information. No sudden maneuvers or hazards are observed during the clip.",0.9254,REVIEW,REVIEW,photo,"object:proceeds(SUSPECT, 0.012); object:course(BORDERLINE, 0.096); object:asphalt(BORDERLINE, 0.074); object:surface(BORDERLINE, 0.094); object:overcast(BORDERLINE, 0.094); object:conditions(BORDERLINE, 0.142); object:mix(BORDERLINE, 0.100); object:structures(SUSPECT, 0.042); object:bare(BORDERLINE, 0.106); object:trees(SUSPECT, 0.029); object:sidewalks(BORDERLINE, 0.137); object:pedestrians(BORDERLINE, 0.050); object:umbrellas(SUSPECT, 0.000); object:sidewalk(SUSPECT, 0.039); object:bus(SUSPECT, 0.041); object:travels(BORDERLINE, 0.142); object:sedans(BORDERLINE, 0.080); object:suv(SUSPECT, 0.012); object:overhead(BORDERLINE, 0.065); object:sign(SUSPECT, 0.033); object:arrows(SUSPECT, 0.004); object:korean(BORDERLINE, 0.060); object:text(SUSPECT, 0.046); object:bus(SUSPECT, 0.041); object:sign(SUSPECT, 0.033); object:maneuvers(BORDERLINE, 0.064); object:hazards(SUSPECT, 0.017); action:maintaining(BORDERLINE, 0.069); action:including(BORDERLINE, 0.113)",
example_05,./data/pilot_videos/5.mp4,"The ego-vehicle proceeds straight along a three-lane city street, its motion steady as raindrops blur the windshield, leaving streaks across the wet asphalt. The road is flanked by a concrete barrier on the left and a line of trees on the right, with overhead streetlights and traffic signs punctuating the gray, overcast sky. Ahead, several vehicles navigate the damp lanes, including a silver sedan and a truck positioned to the right, while a few cars are visible to the left. A speed limit sign indicating “60” is mounted above the roadway, and a few other regulatory signs are visible along the route. The scene remains calm, with no sudden maneuvers or hazards observed, as the vehicles maintain their positions and the road ahead remains clear of unexpected events.",0.9496,REVIEW,REVIEW,photo,"object:proceeds(SUSPECT, 0.025); object:city(SUSPECT, 0.049); object:streaks(BORDERLINE, 0.068); object:asphalt(BORDERLINE, 0.081); object:barrier(BORDERLINE, 0.118); object:line(BORDERLINE, 0.103); object:trees(BORDERLINE, 0.109); object:right(BORDERLINE, 0.130); object:streetlights(BORDERLINE, 0.086); object:traffic(BORDERLINE, 0.087); object:signs(SUSPECT, 0.005); object:gray(SUSPECT, 0.036); object:sky(BORDERLINE, 0.129); object:sedan(SUSPECT, 0.004); object:truck(SUSPECT, 0.016); object:right(BORDERLINE, 0.130); object:limit(BORDERLINE, 0.116); object:sign(SUSPECT, 0.005); object:”(BORDERLINE, 0.091); object:signs(SUSPECT, 0.005); object:maneuvers(BORDERLINE, 0.075); object:hazards(BORDERLINE, 0.054); object:positions(BORDERLINE, 0.120); object:events(BORDERLINE, 0.064); action:punctuating(SUSPECT, 0.031); action:including(BORDERLINE, 0.117)",
example_06,./data/pilot_videos/6.mp4,"The ego-vehicle proceeds straight along a three-lane city street under clear, sunny skies, with the road surface appearing dry and well-maintained. As it moves forward, it crosses an intersection marked by a pedestrian crosswalk and approaches a traffic light that is currently green, while a yellow sign indicating photo enforcement ahead is visible on the right. The surrounding environment features a mix of urban and natural elements, with tall trees lining both sides of the road, casting dappled shadows on the pavement. On the left, a multi-story residential building stands behind a fence, and further ahead, a bridge with metal railings spans across the road, leading into a narrower street flanked by more trees and buildings. Several vehicles are present, including a silver sedan directly ahead, a white sedan to the left, and a black SUV also in the adjacent lane to the left, while a few other cars are visible further down the road. A truck can be seen ahead on the left side of the road, and a few other vehicles are scattered along the right side. Road signs include a speed limit of 50 km/h and a 30 km/h sign near the bridge, along with directional signage indicating a school zone ahead. The overall scene is calm, with no sudden movements or hazards observed.",0.9555,REVIEW,REVIEW,photo,"object:proceeds(SUSPECT, 0.018); object:skies(SUSPECT, 0.006); object:surface(BORDERLINE, 0.080); object:light(SUSPECT, 0.032); object:sign(SUSPECT, 0.012); object:mix(BORDERLINE, 0.090); object:elements(BORDERLINE, 0.135); object:sides(SUSPECT, 0.032); object:building(SUSPECT, 0.028); object:stands(SUSPECT, 0.029); object:fence(BORDERLINE, 0.111); object:bridge(BORDERLINE, 0.053); object:railings(BORDERLINE, 0.069); object:spans(SUSPECT, 0.019); object:buildings(BORDERLINE, 0.105); object:sedan(SUSPECT, 0.050); object:sedan(SUSPECT, 0.050); object:suv(SUSPECT, 0.023); object:truck(SUSPECT, 0.011); object:signs(SUSPECT, 0.005); object:limit(BORDERLINE, 0.113); object:km/h(BORDERLINE, 0.092); object:km/h(BORDERLINE, 0.129); object:sign(SUSPECT, 0.012); object:bridge(BORDERLINE, 0.053); object:signage(SUSPECT, 0.019); object:school(SUSPECT, 0.013); object:movements(BORDERLINE, 0.110); object:hazards(SUSPECT, 0.036); action:appearing(BORDERLINE, 0.090); action:indicating(BORDERLINE, 0.136); action:casting(BORDERLINE, 0.127); action:leading(BORDERLINE, 0.103); action:including(BORDERLINE, 0.121); action:indicating(BORDERLINE, 0.136)",
example_07,./data/pilot_videos/7.mp4,"The ego-vehicle proceeds straight along a two-lane city street under a bright, sunny sky with scattered white clouds, the clear asphalt surface showing some dark tire marks. The road is lined with buildings on both sides, including a multi-story structure with glass panels on the right and a mix of commercial storefronts with awnings and signage on the left, while trees and greenery are visible along the roadside and in the distance. Several vehicles are present, including a white SUV and a white pickup truck ahead, and multiple cars parked or moving along the right side of the road; a truck on the right appears to be gradually closing in, suggesting a potential lane merge. Road signs are visible, including a blue directional sign indicating “Yulgok-ro 2868beon-gil” and another sign pointing to “400m” ahead, while white painted crosswalk markings are visible ahead on the road surface. No sudden events or hazards are apparent in the frames.",0.9149,REVIEW,REVIEW,photo,"object:proceeds(SUSPECT, 0.013); object:clouds(BORDERLINE, 0.084); object:surface(BORDERLINE, 0.094); object:tire(SUSPECT, 0.002); object:marks(BORDERLINE, 0.094); object:sides(BORDERLINE, 0.053); object:structure(BORDERLINE, 0.078); object:glass(SUSPECT, 0.018); object:panels(SUSPECT, 0.026); object:mix(BORDERLINE, 0.102); object:storefronts(SUSPECT, 0.029); object:awnings(SUSPECT, 0.012); object:signage(SUSPECT, 0.021); object:trees(SUSPECT, 0.037); object:greenery(SUSPECT, 0.050); object:suv(SUSPECT, 0.010); object:pickup(SUSPECT, 0.042); object:truck(SUSPECT, 0.031); object:truck(SUSPECT, 0.031); object:signs(SUSPECT, 0.008); object:sign(SUSPECT, 0.011); object:”(BORDERLINE, 0.121); object:sign(SUSPECT, 0.011); object:”(BORDERLINE, 0.121); object:surface(BORDERLINE, 0.094); object:events(SUSPECT, 0.012); object:hazards(SUSPECT, 0.021); object:frames(SUSPECT, 0.018); action:showing(BORDERLINE, 0.146); action:including(BORDERLINE, 0.099); action:including(BORDERLINE, 0.099); action:closing(BORDERLINE, 0.132); action:suggesting(BORDERLINE, 0.057); action:including(BORDERLINE, 0.099); action:indicating(BORDERLINE, 0.130); action:pointing(BORDERLINE, 0.112)",
example_08,./data/pilot_videos/8.mp4,"The ego-vehicle proceeds straight along a two-lane city street under a bright, sunny sky with scattered white clouds, the clear asphalt surface reflecting the daylight. The road is lined with trees casting dappled shadows across the pavement, and the surrounding environment features a mix of low-rise commercial buildings and taller structures in the distance, with a few pedestrians visible on sidewalks near crosswalks. Several vehicles are present ahead and to the sides, including a black SUV parked on the right and multiple cars moving in the adjacent lanes, while overhead traffic lights and standard Korean directional signs are visible at intersections. A notable lateral movement is observed as a car ahead gradually grows closer, suggesting it may be merging toward the ego-vehicle’s path. No sudden hazards or abrupt maneuvers are evident in the frames.",0.9516,REVIEW,REVIEW,photo,"object:proceeds(SUSPECT, 0.017); object:clouds(SUSPECT, 0.035); object:asphalt(BORDERLINE, 0.117); object:surface(BORDERLINE, 0.118); object:trees(BORDERLINE, 0.146); object:environment(BORDERLINE, 0.149); object:mix(BORDERLINE, 0.124); object:taller(SUSPECT, 0.032); object:structures(SUSPECT, 0.047); object:pedestrians(SUSPECT, 0.007); object:vehicles(BORDERLINE, 0.095); object:sides(SUSPECT, 0.036); object:suv(SUSPECT, 0.013); object:cars(BORDERLINE, 0.110); object:traffic(SUSPECT, 0.047); object:lights(SUSPECT, 0.036); object:korean(SUSPECT, 0.050); object:signs(SUSPECT, 0.004); object:car(BORDERLINE, 0.066); object:closer(BORDERLINE, 0.090); object:ego-vehicle(SUSPECT, 0.006); object:path(BORDERLINE, 0.134); object:hazards(SUSPECT, 0.025); object:maneuvers(BORDERLINE, 0.069); object:frames(SUSPECT, 0.024); action:reflecting(SUSPECT, 0.032); action:casting(BORDERLINE, 0.121); action:including(BORDERLINE, 0.115); action:suggesting(BORDERLINE, 0.068)",
example_09,./data/pilot_videos/9.mp4,"The ego-vehicle proceeds straight along a two-lane city street under clear, sunny skies, with the road surface appearing dry and well-maintained. The urban environment is lined with multi-story buildings featuring commercial storefronts, interspersed with tall trees casting dappled shadows across the pavement. Several vehicles are visible ahead, including a white sedan that grows noticeably closer, suggesting a potential lane merge, while a silver sedan in the adjacent lane also appears to be moving closer, possibly adjusting its position. On the right side of the road, a white sedan is parked near a bus stop shelter, and further down, a crosswalk is marked with white stripes. Pedestrians can be seen walking along the sidewalks on both sides, with a few crossing the street near the crosswalk. Traffic lights are visible overhead, and road signs in the standard Korean format are mounted on gantries, though their specific text is not legible. No sudden events or hazards are apparent in the frames.",0.9291,REVIEW,REVIEW,photo,"object:proceeds(SUSPECT, 0.009); object:skies(SUSPECT, 0.004); object:surface(BORDERLINE, 0.062); object:environment(BORDERLINE, 0.134); object:buildings(BORDERLINE, 0.103); object:storefronts(SUSPECT, 0.037); object:trees(SUSPECT, 0.030); object:shadows(SUSPECT, 0.031); object:pavement(BORDERLINE, 0.105); object:sedan(SUSPECT, 0.015); object:sedan(SUSPECT, 0.015); object:sedan(SUSPECT, 0.015); object:bus(SUSPECT, 0.006); object:stop(SUSPECT, 0.039); object:shelter(SUSPECT, 0.006); object:crosswalk(BORDERLINE, 0.082); object:stripes(SUSPECT, 0.004); object:pedestrians(SUSPECT, 0.007); object:sidewalks(BORDERLINE, 0.100); object:sides(SUSPECT, 0.028); object:crosswalk(BORDERLINE, 0.082); object:lights(SUSPECT, 0.003); object:signs(SUSPECT, 0.002); object:korean(BORDERLINE, 0.094); object:gantries(SUSPECT, 0.024); object:text(SUSPECT, 0.044); object:events(SUSPECT, 0.009); object:hazards(SUSPECT, 0.013); object:frames(SUSPECT, 0.010); action:appearing(BORDERLINE, 0.075); action:featuring(BORDERLINE, 0.086); action:casting(BORDERLINE, 0.073); action:including(BORDERLINE, 0.096); action:suggesting(SUSPECT, 0.050); action:adjusting(SUSPECT, 0.030); action:walking(SUSPECT, 0.028); action:crossing(BORDERLINE, 0.103)",
example_10,./data/pilot_videos/10.mp4,"The ego-vehicle proceeds straight along a three-lane city street with a clear, smooth asphalt surface under a bright, sunny sky. The road is flanked by mature trees on both sides, with a landscaped green area visible to the right and a hedge-lined sidewalk to the left. Several vehicles are present ahead and to the left, including a white sedan and a silver sedan that pass in the adjacent lane. As the vehicle continues, it approaches an intersection marked by overhead signs indicating “경포로” and “율곡로,” with directional arrows pointing toward the respective roads. The road ahead widens into a multi-lane configuration with white lane markings and orange delineators, and a bridge can be seen in the distance over a green, vegetated area. No pedestrians or traffic lights are visible, and the weather remains consistently clear with scattered clouds. No sudden maneuvers or hazards are observed during the clip.",0.9658,PASS,REVIEW,photo,"object:proceeds(SUSPECT, 0.007); object:city(BORDERLINE, 0.054); object:surface(BORDERLINE, 0.089); object:sky(BORDERLINE, 0.124); object:mature(SUSPECT, 0.023); object:trees(BORDERLINE, 0.115); object:sides(SUSPECT, 0.041); object:area(BORDERLINE, 0.140); object:visible(BORDERLINE, 0.104); object:sidewalk(SUSPECT, 0.026); object:vehicles(BORDERLINE, 0.088); object:sedan(SUSPECT, 0.004); object:sedan(SUSPECT, 0.004); object:vehicle(BORDERLINE, 0.075); object:intersection(BORDERLINE, 0.111); object:signs(SUSPECT, 0.007); object:경포로(SUSPECT, 0.010); object:”(BORDERLINE, 0.097); object:율곡로(SUSPECT, 0.026); object:”(BORDERLINE, 0.097); object:arrows(SUSPECT, 0.021); object:configuration(BORDERLINE, 0.130); object:orange(SUSPECT, 0.001); object:delineators(BORDERLINE, 0.063); object:bridge(SUSPECT, 0.003); object:area(BORDERLINE, 0.140); object:pedestrians(SUSPECT, 0.004); object:traffic(SUSPECT, 0.045); object:lights(SUSPECT, 0.012); object:clouds(SUSPECT, 0.016); object:maneuvers(BORDERLINE, 0.088); object:hazards(SUSPECT, 0.014); action:including(BORDERLINE, 0.096); action:pointing(BORDERLINE, 0.097)",
